$Ascii:UWI 02_97-DD-1X,Lam Son JOC,,,
.	.	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Zoneset_Zone_BB	
UWI	Depth   Azimuth Derivation	DTCO3   DTSH5	East	ECGR	HAZI	HCAL	HDEVI	North	R	RHOZ	RLA1	RLA2	RLA3	RLA4	RLA5	RT_HRLT	RXOZ	TNPH	TVD	TVDSS	X	Y	Zoneset_Zone_BB
.	M	.	.	US/F	US/F	.	GAPI	Deg	IN	Deg	.	.	G/C3	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	V/V	.	.	.	.	.	
null	1156.1064	224.2967	0.7664	55.7602	174.6568	-0.0918	77.5684	224.2967	12.4518	0.7664	-0.0909	0.1292	2.1695	0.0126	0.0091	0.0068	0.0041	0.0032	0.0031	0.0376	0.4487	1156.1056	1156.1056	-0.0918	-0.0909	A	
null	1156.2588	224.2685	0.7674	55.7497	164.2843	-0.0932	78.1164	224.2685	12.4562	0.7674	-0.0924	0.1313	2.1049	0.0124	0.009	0.0067	0.0039	0.0031	0.003	0.0376	0.4904	1156.258	1156.258	-0.0932	-0.0924	A	
null	1156.4112	224.2403	0.7683	55.7217	164.7061	-0.0946	77.1051	224.2403	12.4798	0.7683	-0.0939	0.1333	2.0804	0.0128	0.0092	0.0069	0.0042	0.0033	0.0032	0.033	0.5109	1156.4103	1156.4103	-0.0946	-0.0939	A	
null	1156.5636	224.2122	0.7692	55.6154	163.7266	-0.0961	74.3025	224.2122	12.4636	0.7692	-0.0953	0.1353	2.0884	0.0129	0.0093	0.007	0.0042	0.0033	0.0032	0.033	0.5056	1156.5627	1156.5627	-0.0961	-0.0953	A	
null	1156.716	224.1842	0.7701	55.6979	165.3452	-0.0975	74.8001	224.1842	12.451	0.7701	-0.0968	0.1374	2.1122	0.0123	0.0089	0.0066	0.0038	0.0029	0.0029	0.0317	0.4937	1156.7151	1156.7151	-0.0975	-0.0968	A	
null	1156.8684	224.1563	0.7711	55.6979	168.4709	-0.0989	77.735	224.1563	12.4712	0.7711	-0.0983	0.1394	2.1338	0.0124	0.009	0.0067	0.0038	0.0029	0.0028	0.03	0.4887	1156.8675	1156.8675	-0.0989	-0.0983	A	
null	1157.0208	224.1284	0.772	55.5647	169.5928	-0.1004	82.0541	224.1284	12.4635	0.772	-0.0997	0.1415	2.1438	0.0139	0.01	0.0076	0.0047	0.0036	0.0035	0.03	0.5021	1157.0199	1157.0199	-0.1004	-0.0997	A	
null	1157.1732	224.1006	0.7729	55.7032	169.1426	-0.1018	83.6439	224.1006	12.4647	0.7729	-0.1012	0.1435	2.1448	0.0128	0.0093	0.0068	0.0039	0.0029	0.0028	0.03	0.4956	1157.1723	1157.1723	-0.1018	-0.1012	A	
null	1157.3256	224.0728	0.7738	55.8612	168.7793	-0.1032	84.5675	224.0728	12.4637	0.7738	-0.1027	0.1456	2.1681	0.0117	0.0085	0.0063	0.0035	0.0027	0.0026	0.0316	0.4909	1157.3247	1157.3247	-0.1032	-0.1027	A	
null	1157.478	224.0451	0.7748	92.0637	166.4022	-0.1046	85.3673	224.0451	12.4603	0.7748	-0.1042	0.1477	2.1957	0.013	0.0094	0.007	0.004	0.0031	0.003	0.0316	0.4773	1157.477	1157.477	-0.1046	-0.1042	A	
null	1157.6304	224.0175	0.7757	94.8075	166.359	-0.1061	87.2255	224.0175	12.4642	0.7757	-0.1057	0.1497	2.1942	0.0113	0.0083	0.0061	0.0033	0.0026	0.0025	0.0316	0.4588	1157.6294	1157.6294	-0.1061	-0.1057	A	
null	1157.7828	223.9899	0.7766	94.1414	166.587	-0.1075	85.8534	223.9899	12.4698	0.7766	-0.1071	0.1518	2.1581	0.0124	0.0091	0.0068	0.004	0.0031	0.003	0.0315	0.4483	1157.7818	1157.7818	-0.1075	-0.1071	A	
null	1157.9352	223.9624	0.7775	94.6188	166.7047	-0.109	84.0778	223.9624	12.4701	0.7775	-0.1086	0.1539	2.1026	0.0123	0.009	0.0067	0.0038	0.003	0.0029	0.0315	0.4531	1157.9342	1157.9342	-0.109	-0.1086	A	
null	1158.0876	223.935	0.7785	92.6557	167.735	-0.1104	80.9917	223.935	12.4784	0.7785	-0.1101	0.1559	2.0719	0.0117	0.0086	0.0064	0.0036	0.0028	0.0027	0.0325	0.4995	1158.0866	1158.0866	-0.1104	-0.1101	A	
null	1158.24	223.9076	0.7794	95.9071	167.4503	-0.1118	79.7577	223.9076	12.4637	0.7794	-0.1116	0.158	2.0524	0.012	0.0087	0.0065	0.0038	0.0031	0.003	0.0308	0.5413	1158.239	1158.239	-0.1118	-0.1116	A	
null	1158.3924	223.8803	0.7803	94.7042	167.4852	-0.1133	79.721	223.8803	12.4764	0.7803	-0.1131	0.1601	2.0627	0.0133	0.0096	0.0073	0.0045	0.0038	0.0036	0.0323	0.5315	1158.3914	1158.3914	-0.1133	-0.1131	A	
null	1158.5448	223.8531	0.7813	55.5791	168.1245	-0.1147	80.6762	223.8531	12.4694	0.7813	-0.1146	0.1621	2.0926	0.0136	0.0098	0.0075	0.0047	0.0041	0.004	0.0323	0.4972	1158.5437	1158.5437	-0.1147	-0.1146	A	
null	1158.6972	223.8259	0.7822	93.3954	170.0943	-0.1161	80.7913	223.8259	12.4827	0.7822	-0.1161	0.1642	2.136	0.0121	0.0087	0.0067	0.0041	0.0039	0.0038	0.0323	0.5169	1158.6961	1158.6961	-0.1161	-0.1161	A	
null	1158.8496	223.7988	0.7831	54.6115	172.7248	-0.1176	82.6954	223.7988	12.473	0.7831	-0.1176	0.1663	2.1679	0.0138	0.01	0.0079	0.0053	0.0053	0.0052	0.03	0.5087	1158.8485	1158.8485	-0.1176	-0.1176	A	
